Tech:Continuous  Deployment - Our organizations deployment process is fully automated,Tech:Continuous  Deployment - Our organizations releases are tightly coupled to sprint cycles,Deployment Frequency
4,5,At least a few times per month
4,3,At least a few times per month
4,2,At least weekly
2,4,At least weekly
2,1,At least daily
0,5,Not sure - I/my team does not engage in this capacity
5,5,At least weekly
0,4,At least weekly
5,5,At least a few times per month
4,5,At least a few times per month
4,4,At least a few times per month
5,5,At least weekly
5,5,At least a few times per month
0,0,Not sure - I/my team does not engage in this capacity
0,0,Once a month or less frequently
2,4,At least weekly
4,5,At least weekly
1,2,At least a few times per month
4,3,Once a month or less frequently
3,4,At least a few times per month
3,3,At least a few times per month
3,3,Not sure - I/my team does not engage in this capacity
4,4,At least a few times per month
3,4,Not sure - I/my team does not engage in this capacity
3,3,At least weekly
3,4,At least a few times per month
1,1,At least a few times per month
5,5,At least a few times per month
5,4,At least a few times per month
4,5,Once a month or less frequently
5,5,At least weekly
4,5,At least a few times per month
2,4,At least a few times per month
2,4,Not sure - I/my team does not engage in this capacity
5,4,At least a few times per month
0,0,At least weekly
0,0,Once a month or less frequently
0,0,Not sure - I/my team does not engage in this capacity
4,5,At least a few times per month
0,0,Once a month or less frequently
4,4,Not sure - I/my team does not engage in this capacity
4,1,Once a month or less frequently
1,1,At least weekly
4,5,At least daily
2,2,At least a few times per month
0,3,Once a month or less frequently
2,2,Not sure - I/my team does not engage in this capacity
2,4,Not sure - I/my team does not engage in this capacity
4,5,At least a few times per month
4,4,Once a month or less frequently
2,2,Once a month or less frequently
5,4,At least a few times per month
5,5,At least daily
4,4,At least daily
5,5,Not sure - I/my team does not engage in this capacity
1,1,At least weekly
4,4,Not sure - I/my team does not engage in this capacity
3,4,Once a month or less frequently
4,4,At least weekly
0,0,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
3,4,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
0,4,Not sure - I/my team does not engage in this capacity
4,4,At least daily
4,5,At least a few times per month
4,3,Once a month or less frequently
4,4,At least weekly
4,3,At least a few times per month
4,4,At least weekly
4,3,At least weekly
4,4,At least weekly
3,4,Once a month or less frequently
5,5,Once a month or less frequently
3,3,Not sure - I/my team does not engage in this capacity
3,3,Once a month or less frequently
4,0,At least weekly
1,4,Once a month or less frequently
0,0,Not sure - I/my team does not engage in this capacity
2,2,Once a month or less frequently
0,0,Not sure - I/my team does not engage in this capacity
1,3,At least a few times per month
3,4,Not sure - I/my team does not engage in this capacity
3,3,Not sure - I/my team does not engage in this capacity
4,4,At least a few times per month
2,3,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
4,4,Not sure - I/my team does not engage in this capacity
4,4,At least a few times per month
5,5,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
5,5,At least daily
0,0,Not sure - I/my team does not engage in this capacity
5,5,At least weekly
0,0,Not sure - I/my team does not engage in this capacity
0,3,Once a month or less frequently
4,4,At least daily
2,2,At least a few times per month
4,5,At least a few times per month
3,3,Not sure - I/my team does not engage in this capacity
5,5,At least hourly
0,0,Not sure - I/my team does not engage in this capacity
4,3,At least weekly
5,1,At least daily
3,4,At least a few times per month
4,3,Once a month or less frequently
0,0,Not sure - I/my team does not engage in this capacity
3,4,At least daily
2,1,Once a month or less frequently
4,3,At least a few times per month
3,3,At least a few times per month
4,4,At least a few times per month
5,5,Not sure - I/my team does not engage in this capacity
4,0,At least weekly
0,0,Not sure - I/my team does not engage in this capacity
4,4,Not sure - I/my team does not engage in this capacity
3,3,At least a few times per month
4,5,At least a few times per month
3,5,At least a few times per month
4,4,Once a month or less frequently
0,0,Not sure - I/my team does not engage in this capacity
3,3,Not sure - I/my team does not engage in this capacity
4,5,At least a few times per month
4,4,Once a month or less frequently
4,5,At least weekly
4,3,At least a few times per month
4,4,At least weekly
2,2,At least a few times per month
3,3,Once a month or less frequently
4,4,At least a few times per month
5,5,At least a few times per month
5,4,At least weekly
3,3,Once a month or less frequently
4,5,At least a few times per month
4,5,At least a few times per month
3,4,At least a few times per month
3,4,At least a few times per month
4,5,At least a few times per month
4,5,At least daily
0,0,Not sure - I/my team does not engage in this capacity
4,4,At least weekly
4,4,At least a few times per month
4,5,Once a month or less frequently
4,2,At least a few times per month
4,3,Once a month or less frequently
5,5,At least a few times per month
3,4,At least a few times per month
0,4,At least a few times per month
4,4,Not sure - I/my team does not engage in this capacity
4,4,At least a few times per month
2,2,At least a few times per month
5,5,At least a few times per month
1,2,Once a month or less frequently
4,4,At least a few times per month
4,4,At least a few times per month
3,1,Once a month or less frequently
3,3,Once a month or less frequently
4,4,At least weekly
5,5,At least a few times per month
4,5,At least a few times per month
4,4,At least weekly
4,4,Not sure - I/my team does not engage in this capacity
4,4,At least a few times per month
3,4,At least a few times per month
4,4,At least weekly
4,4,At least weekly
2,4,Once a month or less frequently
3,4,At least weekly
3,4,Once a month or less frequently
5,4,At least a few times per month
4,5,At least weekly
4,3,At least a few times per month
3,3,Once a month or less frequently
0,0,Not sure - I/my team does not engage in this capacity
4,4,Once a month or less frequently
3,3,At least weekly
2,2,At least a few times per month
0,0,Not sure - I/my team does not engage in this capacity
0,0,Not sure - I/my team does not engage in this capacity
1,1,Once a month or less frequently
4,4,Not sure - I/my team does not engage in this capacity
3,0,Not sure - I/my team does not engage in this capacity
1,1,Not sure - I/my team does not engage in this capacity
4,3,At least a few times per month
